track,album,artist
"""Bang Bang (Pianochocolate Remix)""","""Aquarelle""",Jean Honeymoon
"""Goodbye (Pianochocolate Remix)""","""Aquarelle""",Marga Sol
"""Rose from Tango""","""Aquarelle""",Pianochocolate
"""Forest""","""Aquarelle""",Pianochocolate
"""Not to Late""","""Aquarelle""",Pianochocolate
"""Birthday №1""","""Aquarelle""",Pianochocolate
"""My Paris is Here""","""Aquarelle""",Pianochocolate
"""Tenderness""","""Aquarelle""",Pianochocolate
"""RiverSong""","""Aquarelle""",Pianochocolate
"""Whisper""","""Aquarelle""",Pianochocolate
"""Forgotten Love""","""Aquarelle""",Pianochocolate
"""Breathing Space""","""Live at The World Famous, 2/1/2015""",John Kiran Fernandes & Alec Livaditis
"""L'enclume""","""L'enclume""",Circus Marcus
"""Le socle""","""L'enclume""",Circus Marcus
"""Le poids""","""L'enclume""",Circus Marcus
"""Aux puces No 12""","""Aux puces""",Circus Marcus
"""Bach Manifests""","""Instrumental music from Billiards""",Ergo Phizmiz
"""Drawing Room""","""Instrumental music from Billiards""",Ergo Phizmiz
"""Electronic Music Machine""","""Instrumental music from Billiards""",Ergo Phizmiz
"""Bliss in Convulsions""","""Instrumental music from Billiards""",Ergo Phizmiz
"""Black and White 09""","""Black and White""",Megatone
"""Black and White 08""","""Black and White""",Megatone
"""Black and White 07""","""Black and White""",Megatone
"""Black and White 06""","""Black and White""",Megatone
"""Black and White 05""","""Black and White""",Megatone
"""Black and White 04""","""Black and White""",Megatone
"""Black and White 03""","""Black and White""",Megatone
"""Black and White 02""","""Black and White""",Megatone
"""Black and White 01""","""Black and White""",Megatone
"""Pretend and walk outside""","""Pretend and walk outside""",krackatoa
"""Aux puces No 11""","""Aux puces""",Circus Marcus
"""The Beginning""","""Spin Day and the Emotional Godfather""",Spin Day
"""What""","""Spin Day and the Emotional Godfather""",Spin Day
"""Godfather's Theme""","""Spin Day and the Emotional Godfather""",Spin Day
"""Interludium II""","""Spin Day and the Emotional Godfather""",Spin Day
"""Where""","""Spin Day and the Emotional Godfather""",Spin Day
"""When""","""Spin Day and the Emotional Godfather""",Spin Day
"""Who""","""Spin Day and the Emotional Godfather""",Spin Day
"""The End""","""Spin Day and the Emotional Godfather""",Spin Day
"""Petite pièce minime - Minuit""","""Petites pièces""",Circus Marcus
"""Harpsikontemplations""","""Instrumental music from Billiards""",Ergo Phizmiz
"""A Little Bit of Dreammusik""","""Instrumental music from Billiards""",Ergo Phizmiz
"""The Orgasm""","""Instrumental music from Billiards""",Ergo Phizmiz
"""The Melomaniac""","""Instrumental music from Billiards""",Ergo Phizmiz
"""To Swap Heads By""","""Instrumental music from Billiards""",Ergo Phizmiz
"""Reds and Yellows""","""Instrumental music from Billiards""",Ergo Phizmiz
"""For First You Take a Sentence""","""Instrumental music from Billiards""",Ergo Phizmiz
"""Game of Chance""","""Instrumental music from Billiards""",Ergo Phizmiz
"""Split Sine Waves""","""Instrumental music from Billiards""",Ergo Phizmiz
"""Voices of God""","""Instrumental music from Billiards""",Ergo Phizmiz
"""Papageno Drunk""","""Instrumental music from Billiards""",Ergo Phizmiz
"""Into the Billiards Room""","""Instrumental music from Billiards""",Ergo Phizmiz
"""Lightworks - A Moment of Recognition""","""Instrumental music from Billiards""",Ergo Phizmiz
"""Hitchcock Etudes""",,Nicole Lizée / Bozzini Quartet
"""Black and White 15""","""Black and White""",Megatone
"""Black and White 14""","""Black and White""",Megatone
"""Black and White 13""","""Black and White""",Megatone
"""Black and White 12""","""Black and White""",Megatone
"""Black and White 11""","""Black and White""",Megatone
"""Black and White 10""","""Black and White""",Megatone
